system,episode,metric,mean,ci_low,ci_high,n
AI-enabled,16,knowledge_rank_corr_with_initial,0.9997171490490686,0.9996971486363223,0.9997371494618149,30
AI-enabled,16,mean_ai_trust,0.5663731959880204,0.5655601388467404,0.5671862531293004,30
AI-enabled,16,mean_peer_trust,0.5037678639094035,0.5032323747851546,0.5043033530336525,30
AI-enabled,16,mean_tie_strength,0.5348917384942372,0.533646445661398,0.5361370313270765,30
AI-enabled,16,network_density,0.05602524312021511,0.0559915257900505,0.056058960450379725,30
AI-enabled,16,mean_weighted_degree,5.364156487032218,5.352212729772991,5.376100244291444,30
AI-enabled,16,recent_active_tie_fraction,0.8675947558166112,0.8632562936010215,0.8719332180322008,30
AI-enabled,16,mean_unique_peer_partners,8.76148148148148,8.716825965605047,8.806136997357914,30
AI-enabled,16,mean_peer_marginal,0.0050482073154989844,0.00406780282921076,0.006028611801787209,30
AI-enabled,16,ai_reliability,0.7800000000000001,0.7800000000000001,0.7800000000000001,30
AI-enabled,17,peer_share,0.33888888888888896,0.3252257567783383,0.3525520209994396,30
AI-enabled,17,ai_share,0.38425925925925924,0.3711834793997655,0.397335039118753,30
AI-enabled,17,hybrid_share,0.27685185185185185,0.26395893239621476,0.28974477130748894,30
AI-enabled,17,human_interaction_rate,0.6157407407407407,0.602664960881247,0.6288165206002344,30
AI-enabled,17,ai_use_rate,0.6611111111111111,0.6474479790005605,0.6747742432216617,30
AI-enabled,17,mean_quality,0.5139356625320877,0.5105264947286609,0.5173448303355145,30
AI-enabled,17,success_rate,0.24851851851851853,0.23343148858964366,0.2636055484473934,30
AI-enabled,17,mean_knowledge,0.5370804171444118,0.53350086802454,0.5406599662642836,30
AI-enabled,17,knowledge_rank_corr_with_initial,0.999687491254735,0.9996654858155877,0.9997094966938823,30
AI-enabled,17,mean_ai_trust,0.5684586724519699,0.5676125637025329,0.5693047812014069,30
AI-enabled,17,mean_peer_trust,0.504038276274999,0.5034889001274003,0.5045876524225976,30
AI-enabled,17,mean_tie_strength,0.533951191107432,0.5327123585288897,0.5351900236859745,30
AI-enabled,17,network_density,0.056035588661286904,0.05600173424966459,0.05606944307290922,30
AI-enabled,17,mean_weighted_degree,5.355714162588119,5.343749768493926,5.3676785566823115,30
