factor,level,multiplier,metric,mean,ci_low,ci_high,n
ai_access_saturation,-20%,0.8,final_human_interaction_rate,0.648811111111111,0.6439527763429543,0.6536694458792677,20
ai_access_saturation,-20%,0.8,final_ai_use_rate,0.5979333333333333,0.5924183138597784,0.6034483528068882,20
ai_access_saturation,-20%,0.8,final_mean_quality,0.5897703380076362,0.5869812942946386,0.5925593817206338,20
ai_access_saturation,-20%,0.8,final_success_rate,0.4322444444444444,0.423761770128941,0.44072711875994774,20
ai_access_saturation,-20%,0.8,final_mean_knowledge,0.6454222172496864,0.641497784404384,0.6493466500949888,20
ai_access_saturation,-20%,0.8,final_knowledge_gini,0.0813689162290385,0.07932256649355145,0.08341526596452555,20
ai_access_saturation,-20%,0.8,final_knowledge_rank_corr_with_initial,0.989513348552326,0.9887529904922955,0.9902737066123565,20
ai_access_saturation,-20%,0.8,final_performance_gini,0.09966295650854531,0.09880125746498475,0.10052465555210588,20
ai_access_saturation,-20%,0.8,final_mean_ai_trust,0.59401656059859,0.5934529833560355,0.5945801378411445,20
ai_access_saturation,-20%,0.8,final_mean_peer_trust,0.5638869960308075,0.5612155130622857,0.5665584789993293,20
ai_access_saturation,-20%,0.8,final_mean_tie_strength,0.43507833844423294,0.4339550983543239,0.436201578534142,20
ai_access_saturation,-20%,0.8,final_network_density,0.056997517070142736,0.056885363379730006,0.05710967076055547,20
ai_access_saturation,-20%,0.8,final_mean_weighted_degree,4.438814521045155,4.426245417788799,4.451383624301512,20
ai_access_saturation,-20%,0.8,final_recent_active_tie_fraction,0.9141358312178939,0.9108680836508708,0.917403578784917,20
ai_access_saturation,-20%,0.8,final_mean_unique_peer_partners,10.708222222222222,10.676466151780863,10.739978292663581,20
ai_access_saturation,-20%,0.8,final_mean_peer_marginal,0.007890025013641042,0.007530516517084398,0.008249533510197684,20
ai_access_saturation,-20%,0.8,final_mean_ai_availability_probability,0.9041675976200464,0.9029735034805437,0.9053616917595491,20
ai_access_saturation,-20%,0.8,edge_retention_ratio,1.0,1.0,1.0,20
ai_access_saturation,-20%,0.8,edge_count_ratio,1.022611111111111,1.019915488739167,1.0253067334830548,20
ai_access_saturation,-20%,0.8,new_edge_ratio,0.022611111111111065,0.01991548873916717,0.02530673348305496,20
ai_access_saturation,-20%,0.8,strong_tie_fraction,0.6327694243479904,0.6252313396730057,0.6403075090229752,20
ai_ambiguity_verification_cost,+20%,1.2,final_peer_share,0.39841111111111116,0.39325798986108496,0.40356423236113736,20
ai_ambiguity_verification_cost,+20%,1.2,final_ai_share,0.3496888888888889,0.34581101598714165,0.3535667617906361,20
ai_ambiguity_verification_cost,+20%,1.2,final_hybrid_share,0.25189999999999996,0.24887825456810012,0.25492174543189977,20
ai_ambiguity_verification_cost,+20%,1.2,final_human_interaction_rate,0.6503111111111111,0.6464332382093638,0.6541889840128583,20
ai_ambiguity_verification_cost,+20%,1.2,final_ai_use_rate,0.601588888888889,0.5964357676388627,0.6067420101389152,20
ai_ambiguity_verification_cost,+20%,1.2,final_mean_quality,0.5894449948083416,0.5865158650295899,0.5923741245870933,20
ai_ambiguity_verification_cost,+20%,1.2,final_success_rate,0.4290777777777778,0.41968826384816127,0.4384672917073943,20
