step,difficulty,mean_quality,mean_knowledge,mean_trust_ai,mean_trust_peer,mean_performance,peer_events,ai_events,hybrid_events,success_rate,avg_tie_strength,HIRI,AMR,gini_performance,scenario,replication
59,0.5336611563586933,0.3229670585762784,0.8703699182480491,0.0,0.017041666666666667,13.283989445726819,62,13,45,0.24166666666666667,0.6189887733511129,0.981651376146789,0.48333333333333334,0.1063266560879905,baseline_human_only,0
60,0.6861225060369744,0.2470524200250585,0.8745520387437842,0.0,0.010500000000000002,13.531041865751877,53,17,50,0.06666666666666667,0.6126554400177795,0.944954128440367,0.5583333333333333,0.10596580696467267,baseline_human_only,0
1,0.6840729712314187,0.1977734505677531,0.5213430969123155,0.48598443352519993,0.5376552712144609,0.1977734505677531,56,13,51,0.0,0.996590514471998,1.0,0.5333333333333333,0.2639139393783414,baseline_human_only,1
2,0.8258038716306046,0.1429281780389078,0.5248765502746733,0.46098443352519997,0.4943219378811275,0.340701628606661,60,16,44,0.0,0.9918238478053313,0.9719626168224299,0.5,0.2390454649531135,baseline_human_only,1
3,0.3978372959696592,0.2863578423999716,0.5316956365308114,0.4351511001918666,0.4506136045477941,0.6270594710066324,58,10,52,0.025,0.9873571811386646,1.02803738317757,0.5166666666666667,0.18174008604104494,baseline_human_only,1
4,0.7968438987341873,0.15319641312264956,0.5356821660272061,0.4114011001918666,0.4048411652164427,0.780255884129282,63,10,47,0.0,0.9823155144719978,1.02803738317757,0.475,0.18398575967486608,baseline_human_only,1
5,0.5346362168599598,0.24050965386472173,0.5416114379649867,0.38515110019186666,0.361455007681654,1.0207655379940037,57,13,50,0.0,0.9742030144719979,1.0,0.525,0.1714122967728849,baseline_human_only,1
6,0.7265420865215162,0.17214839472002458,0.546441167550702,0.3638637196531896,0.3180420468846609,1.1929139327140283,68,11,41,0.0,0.9661863478053312,1.0186915887850467,0.43333333333333335,0.17010258675793102,baseline_human_only,1
7,0.8373101571473747,0.12927446916795546,0.5496513695666349,0.33894947538670905,0.2755993966770113,1.322188401881984,58,13,49,0.0,0.9582405144719978,1.0,0.5166666666666667,0.17517030298658665,baseline_human_only,1
8,0.599156664312358,0.19111978683771577,0.5543151720046928,0.3122706061276951,0.23826659958228708,1.5133081887196995,53,21,46,0.0,0.9504738478053312,0.9252336448598131,0.5583333333333333,0.17921774128579238,baseline_human_only,1
9,0.3500598844370707,0.2778011817927398,0.5609808769464483,0.28720883054954244,0.20543070158849167,1.7911093705124395,53,23,44,0.03333333333333333,0.9435238478053312,0.9065420560747663,0.5583333333333333,0.17104523766874413,baseline_human_only,1
10,0.40708867506324464,0.2720626418057113,0.5676772974136683,0.26237408044548943,0.16882352000094683,2.0631720123181507,56,17,47,0.016666666666666666,0.9358321811386645,0.9626168224299065,0.5333333333333333,0.16589102672058254,baseline_human_only,1
11,0.7491995495513957,0.14119608740426787,0.5710299934160808,0.23720721734573758,0.13350529359545538,2.2043680997224184,53,13,54,0.0,0.9275738478053311,1.0,0.5583333333333333,0.1649783272430121,baseline_human_only,1
12,0.37180719146225094,0.25710791998762456,0.5776255526605532,0.21419277527260197,0.10168481977529803,2.461476019710043,56,12,52,0.016666666666666666,0.9196321811386645,1.0093457943925233,0.5333333333333333,0.16254816066065553,baseline_human_only,1
13,0.3902367864770021,0.26607390446841905,0.5846331135785486,0.19280316564106983,0.07401652238852166,2.727549924178462,59,11,50,0.025,0.9120446811386645,1.0186915887850467,0.5083333333333333,0.158609730375232,baseline_human_only,1
14,0.6246949732745187,0.1827109940929321,0.5897579275359942,0.1740383819115956,0.05287161378922397,2.9102609182713945,56,17,47,0.008333333333333333,0.9043696811386646,0.9626168224299065,0.5333333333333333,0.16000055178309142,baseline_human_only,1
15,0.3564381288105413,0.25825741267928565,0.5955050089770001,0.14972935372676952,0.0368120678106,3.1685183309506804,48,17,55,0.025,0.8971196811386645,0.9626168224299065,0.6,0.15652300576784214,baseline_human_only,1
16,0.33611993050258054,0.2689799263355421,0.6027853818030796,0.1314012629401596,0.028591519254065664,3.437498257286222,59,20,41,0.06666666666666667,0.8910071811386645,0.9345794392523364,0.5083333333333333,0.1498404170933946,baseline_human_only,1
17,0.4600350321111518,0.22513480476761757,0.6089229770025244,0.11261458328967747,0.023233942464222737,3.66263306205384,53,28,39,0.025,0.884198847805331,0.8598130841121495,0.5583333333333333,0.1468908573737912,baseline_human_only,1
18,0.53578878483551,0.21292427978238304,0.6147738468521263,0.0980355723762947,0.01657253858121395,3.8755573418362226,58,17,45,0.025,0.8768863478053311,0.9626168224299065,0.5166666666666667,0.14486694650529106,baseline_human_only,1
19,0.8703108564278843,0.10497075167637479,0.6177843395967597,0.08201424867400499,0.01048738661053857,3.9805280935125973,53,20,47,0.0,0.8690530144719977,0.9345794392523364,0.5583333333333333,0.1460135443147025,baseline_human_only,1
20,0.5059616872631085,0.22252147489172264,0.6238598293503479,0.0688132534572504,0.007743232124532828,4.20304956840432,57,17,46,0.008333333333333333,0.8613571811386644,0.9626168224299065,0.525,0.14379926359411604,baseline_human_only,1
21,0.5412942490825415,0.2063521670569795,0.6294471050170586,0.05678609915468085,0.005637566884381759,4.4094017354613,56,18,46,0.008333333333333333,0.8537696811386645,0.9532710280373832,0.5333333333333333,0.1439344238649538,baseline_human_only,1
22,0.49234813872496075,0.21556965677814635,0.6347593726338403,0.0455017505448699,0.006390409181913496,4.624971392239446,48,16,56,0.03333333333333333,0.8466863478053311,0.9719626168224299,0.6,0.14276624875926144,baseline_human_only,1
23,0.6353251749112842,0.18199937271531913,0.6404006210462708,0.035549288544913266,0.0054320758485801625,4.806970764954765,60,18,42,0.016666666666666666,0.8392071811386645,0.9532710280373832,0.5,0.14291132877548915,baseline_human_only,1
24,0.7441889711677283,0.13450934774585427,0.6436844213615411,0.025704609116244347,0.0042914648337316254,4.941480112700619,46,14,60,0.008333333333333333,0.831623847805331,0.9906542056074766,0.6166666666666667,0.14290115117320715,baseline_human_only,1
25,0.8756749935819081,0.1093811439774082,0.64693039778764,0.019805276095074497,0.0032914648337316254,5.050861256678028,56,15,49,0.0,0.8238530144719978,0.9813084112149533,0.5333333333333333,0.14307740193287694,baseline_human_only,1
26,0.32026681282524655,0.30514186826524303,0.6563794639154433,0.01622577910126963,0.007541464833731626,5.356003124943271,68,17,35,0.13333333333333333,0.8191155144719978,0.9626168224299065,0.43333333333333335,0.1419577241582465,baseline_human_only,1
27,0.5312476454887943,0.21648424568833952,0.6621900483662913,0.011678894815761358,0.003916464833731625,5.5724873706316105,55,15,50,0.025,0.8115655144719978,0.9813084112149533,0.5416666666666666,0.1423234954629304,baseline_human_only,1
28,0.44461967463377844,0.24319829545080643,0.6690978060188727,0.008355351180679756,0.005374798167064959,5.815685666082417,57,22,41,0.05,0.8048488478053311,0.9158878504672897,0.525,0.14164269216112355,baseline_human_only,1
29,0.5292248508491194,0.21763891062013058,0.6751604946486047,0.00543697204098975,0.005124798167064959,6.0333245767025465,55,18,47,0.041666666666666664,0.7977363478053311,0.9532710280373832,0.5416666666666666,0.14229684474922288,baseline_human_only,1
30,0.886762816061865,0.12290954222913528,0.6789773253238693,0.003575382981243416,0.002999798167064959,6.156234118931682,55,20,45,0.0,0.7898405144719975,0.9345794392523364,0.5416666666666666,0.14339933187444914,baseline_human_only,1
